a_term	b_term	len(a_b_intersect)	len(a_term_set)	len(b_term_set)	n_articles	pmid_intersection	pvalue	run_time	sort_ratio
mercaptopurine	inflammatory bowel disease	656	4573	47687	33810017	{17162240, 7936006, 1413128, 19077129, 17031182, 33628180, 25239576, 21172256, 18759713, 21381155, 17653797, 24340518, 21172265, 30851117, 18516013, 21172270, 15317038, 22386736, 18516018, 11302961, 16181300, 17973305, 6359103, 24707136, 34287682, 9740355, 21172293, 9547850, 29315147, 17129552, 18200659, 11419732, 11239509, 33136726, 17188950, 28276819, 20205660, 26935390, 23253089, 25389155, 12003428, 17455203, 17033318, 20881512, 15388785, 21323897, 18266236, 21530749, 17567870, 9705598, 8755333, 1935495, 17662091, 15341713, 15167634, 15952020, 28899477, 12617881, 29192347, 11696283, 20367524, 30349479, 20045992, 10692777, 21180588, 1935537, 9687219, 15788214, 22147254, 16128185, 29522107, 23515325, 22956222, 32766146, 16431300, 10555589, 9812167, 7583950, 9048271, 21575887, 16961748, 9050327, 15167706, 6136027, 11995359, 21960930, 21272804, 26878185, 15089898, 31217902, 30701812, 27465973, 28160250, 25248004, 9724170, 20934926, 1497359, 21846292, 25071902, 12650783, 33753379, 25846055, 15104299, 30900526, 1499440, 30159153, 34830644, 9314617, 33661242, 10029372, 26728773, 19214663, 28406092, 16795981, 14743886, 34056527, 24117596, 16918876, 19409244, 27158876, 15745379, 26503525, 25923946, 17561966, 23978351, 2492786, 18467186, 11233655, 22241664, 12003713, 2152845, 8485264, 22221203, 10566035, 12812701, 20087199, 15354273, 23103905, 26950049, 20926885, 31435176, 31570344, 15929770, 12642735, 16048561, 15841714, 18577852, 35293629, 26606012, 12902847, 17328579, 10734022, 25569737, 10656204, 15677905, 10967507, 16009685, 12769750, 28424670, 29180383, 34755040, 27943397, 17717741, 26425841, 24312308, 26061303, 30169593, 2427386, 1479163, 29145599, 8534531, 15149582, 26876431, 11096601, 26067482, 16222751, 1636900, 27867685, 27648552, 20812329, 16153132, 24013359, 16773681, 29430323, 7762487, 7973432, 20949566, 12776005, 11698762, 25758282, 18600523, 10875470, 17304143, 15858256, 33223251, 11600469, 23325274, 15854172, 25895526, 12122738, 21029495, 33802871, 17037946, 18532990, 17334911, 9192064, 31263361, 15118980, 17988235, 24099468, 16493198, 24126096, 31990422, 26481311, 27402913, 12772006, 30198438, 16128682, 16128683, 11707060, 33770165, 27882164, 12544696, 24808120, 20112061, 19174078, 18506437, 10930894, 25770706, 17042131, 16765651, 19821270, 11244253, 17980127, 9317088, 17683171, 24767205, 2460392, 23872237, 9515759, 2802419, 24011513, 25797379, 17568519, 11057928, 32064265, 12610313, 32885513, 18799369, 28914446, 18557712, 8809233, 8708884, 16028439, 12512024, 24824603, 27192092, 15893279, 24982311, 24574759, 20880170, 16886576, 21648178, 22434610, 33872691, 18662197, 24879926, 21789495, 15979323, 29197117, 16159550, 20214590, 23446336, 22993728, 32185153, 24376133, 17593158, 10953543, 34890567, 12069704, 15756101, 29754190, 15545169, 25834322, 18666323, 28228435, 30686035, 28644183, 19438424, 18299738, 24974183, 32306025, 21654383, 15168370, 27399027, 15991678, 23149442, 9608068, 19280773, 9753482, 18666383, 19706768, 18662289, 30675861, 15010715, 16917406, 16618398, 24714152, 25217962, 8420272, 33538994, 12172211, 21519282, 19440565, 20308917, 29361083, 8889277, 20222913, 15963074, 24488903, 21941193, 20175817, 15139787, 20497356, 20556747, 12960720, 29270995, 32342997, 20700117, 27392984, 15881178, 17023965, 2210794, 17576940, 17667053, 25029617, 16835574, 15580150, 34595833, 25162749, 2044925, 23049215, 21181440, 19145729, 19786757, 20558853, 35042318, 19786771, 23467027, 28210198, 28554266, 15475740, 28617756, 34487330, 21722149, 6687782, 10710057, 33532972, 15455280, 27833392, 29338679, 25791546, 22946880, 28963908, 34239556, 10566724, 15352907, 17253451, 19235915, 23555158, 15094873, 7640156, 16034910, 23424097, 25928802, 17065060, 10828903, 10828907, 19160175, 21793904, 23716977, 10957937, 22535279, 28826742, 34518143, 22744192, 11007112, 1504396, 8633486, 17296529, 9395347, 19006615, 23032984, 11469977, 12590235, 11469981, 11469984, 8563872, 11781282, 21941413, 19709096, 8580265, 15131819, 25752753, 19252404, 19631285, 34442422, 1858742, 33608894, 31337664, 11910342, 19950798, 15992018, 25083093, 16633046, 15056086, 12641505, 18564323, 6538474, 11121903, 33283312, 22588657, 7906546, 31792371, 11726077, 12702974, 26854655, 12702978, 22050052, 2565381, 18083079, 34987282, 29342997, 12131606, 16368919, 16166171, 18625819, 34661663, 11052324, 12684584, 17200426, 12684587, 23665964, 1676590, 15201586, 7914811, 16078142, 32322878, 29140288, 11380040, 26072396, 12477776, 34764119, 31464791, 23946592, 25873760, 15316320, 2614627, 28566883, 11111780, 18431330, 19072367, 17206640, 17132918, 28130685, 12791168, 9883009, 11079044, 11079046, 21925255, 12891528, 12891531, 10499471, 29293971, 22767000, 16207256, 17206694, 31530407, 23317929, 28532139, 30451123, 17206711, 11472312, 14697913, 15199672, 25707965, 15316419, 1893828, 11472325, 20155846, 23051720, 23051721, 11173323, 29783500, 27760078, 9895376, 21407186, 23330258, 12869078, 23330262, 12815833, 20594138, 19906011, 25789922, 18513380, 30901734, 30379500, 29147133, 23467510, 31788536, 21122554, 25101818, 22646267, 21122558, 20190722, 20706819, 25081347, 26263042, 26660358, 12656136, 17894921, 25198089, 11677195, 10796557, 22072847, 12721680, 27057681, 28278299, 7521821, 17133087, 11085348, 25284134, 19183142, 31639082, 16614955, 28857898, 29414958, 20932143, 18433585, 28038706, 16543290, 16954954, 8447563, 16498254, 15097439, 15330913, 12809828, 15599205, 10514022, 16854631, 15703660, 23783022, 16334449, 22142578, 28839543, 22337144, 12940924, 19363461, 8050312, 22972046, 8881811, 21438101, 30863001, 20412066, 32917155, 17544875, 21249709, 2866866, 16105163, 1408722, 17252054, 17391318, 20479703, 16842460, 33750748, 18286306, 19441378, 17655530, 31516395, 12113642, 24520429, 22664938, 23787247, 10022640, 8638193, 35006201, 26076924, 21989119, 29564674, 29718278, 26226448, 27809554, 15709982, 11929382, 22773547, 22841133, 8884023, 32233278, 15177535, 24299329, 23138114, 10372932, 12693317, 17659718, 22257476, 28045129, 8204107, 14602060, 14602061, 25831249, 19885906, 18034516, 23408468, 33472343, 22605661, 11683683, 18294633, 21593964, 30941038, 7640945, 12021625, 33929082, 18304898, 20393862, 8898442, 12093322, 3327885, 18810768, 17532817, 15472529, 11564954, 35024806, 24436652, 29775790, 29357999, 16760753, 28839859, 29917107, 21616565, 2670519, 1497017, 20699068, 12492734, 28839871, 11515842, 11966406, 25239495, 25968584, 14628819, 26269667, 25853923, 18761704, 19724267, 3653629, 20015102, 28489727}	0.0	0.01250767381861806	0.013756369660494474
curosurf	respiratory distress	162	354	47506	33810017	{11061760, 8445442, 29736457, 8835084, 8215564, 8378900, 21410324, 16770072, 27077658, 25628188, 20883997, 14743584, 26884641, 2040354, 30957609, 1505835, 32566323, 8090164, 10596413, 15649855, 28778052, 8155207, 31258703, 18173010, 2117204, 2117206, 12478563, 12169831, 10960491, 8327278, 12612208, 22691953, 11794037, 8580215, 10921591, 25502842, 24886906, 10830460, 2274941, 1988229, 1988231, 14655120, 26757268, 25065621, 10155674, 2038427, 1391261, 1396894, 1391262, 12200607, 1391264, 1391266, 1391267, 8126628, 8413348, 1391265, 17069738, 2275499, 2197165, 28913327, 1779394, 8255683, 26044099, 34686153, 3130571, 1933519, 12463314, 1437396, 16759511, 15942360, 1407193, 1509593, 9374427, 34447583, 1727997, 8808165, 9925870, 26954481, 26790130, 32770804, 16155382, 17394936, 9200378, 1631999, 15232767, 33929473, 11420417, 12897027, 29618436, 8233735, 8370446, 29989135, 10973461, 28221717, 30897431, 8464669, 21439262, 33461535, 8529712, 8359730, 9240884, 8529721, 19649338, 32642365, 7743295, 8763715, 11332933, 1616198, 1932103, 33191240, 28203337, 31694668, 7527760, 7898964, 8296279, 10852192, 1479521, 1805156, 1303908, 19348326, 23612264, 19348328, 33420141, 9316205, 15849841, 7843201, 8117122, 9226120, 15204746, 8113035, 20110733, 1841041, 16698258, 20589459, 20948885, 33403805, 18175392, 17978790, 7820711, 19830697, 23692717, 21324208, 15085492, 7647157, 2903480, 9533371, 15805381, 1304522, 12956620, 15196112, 1293266, 9762775, 26296793, 15718361, 17163230, 12373475, 9120744, 24039400, 26322413, 24589806, 21371901, 7995390}	0.0	0.010520704090595245	0.003410095566875763
pegloticase	gout	127	142	13599	33810017	{23144450, 33293318, 31777799, 25648140, 21127695, 34379791, 33750034, 18393109, 20660758, 26258966, 23762971, 20238366, 22560299, 24378930, 22503989, 22035516, 28623421, 31471165, 24602182, 30583886, 25256017, 22655581, 27509346, 22931049, 31079535, 31673974, 21304442, 23089276, 34656384, 32946311, 24588936, 18759308, 19339925, 34997911, 22198943, 23342241, 33427618, 33601190, 32620200, 26474153, 30577324, 28818095, 22941874, 30594229, 27790013, 32090301, 31965378, 30843588, 22660805, 23981765, 22960848, 23539921, 23901393, 32720081, 25547991, 22665944, 22156509, 25224415, 25816806, 22844655, 27769591, 32934137, 22068987, 34481925, 22293773, 26509070, 21812496, 20719377, 33222416, 34935576, 30915866, 31743263, 35293984, 23327525, 29725991, 23836458, 29204266, 28658988, 24286509, 22303534, 18420531, 27493693, 35167037, 24492863, 21846852, 27200846, 26845010, 28430170, 25876828, 35238750, 31610209, 25162087, 33521512, 28379501, 26947439, 26165106, 23121270, 22395256, 30611833, 28816765, 32300419, 26086788, 32600452, 21684104, 31203212, 19463070, 33044389, 23231400, 24839602, 24447425, 22366146, 27605442, 20110792, 24809930, 24733135, 23104464, 25417679, 25330136, 32568281, 25180126, 25180130, 29386212, 32841190, 27457514, 21622774, 30425593, 21382654}	0.0	0.011288731126114726	0.00933892197955732
factor von willebrand	von willebrand	65	65	20672	33810017	{10574592, 31062529, 32058372, 19595526, 7522311, 14500614, 10974219, 8828560, 11005585, 28122514, 28743060, 15282455, 11523352, 19193498, 14678810, 21468954, 20182558, 17885218, 20142117, 11078822, 21776296, 33203754, 16316970, 15956138, 17979694, 20133038, 7839024, 2435633, 26782004, 19437365, 14512308, 30272052, 7516986, 28674874, 28403644, 14690496, 300481, 12660161, 21851461, 19540678, 9455430, 19707337, 1084106, 9951819, 3085260, 356556, 34484561, 20430418, 32759635, 9704660, 17673684, 20302038, 22089178, 15095645, 22206686, 11515869, 31902309, 311530, 20697583, 3872883, 28360822, 25224310, 21083900, 32281469, 15529598}	1.1700241522544981e-209	0.007971869083121419	0.0031443498452012383
eluxadoline	diarrhea	68	115	78481	33810017	{26714241, 27647873, 33769858, 31294724, 33953798, 31972619, 31984655, 30820368, 29451407, 27494159, 32308371, 28203283, 26092951, 28824858, 29172123, 29894043, 30267294, 35122590, 31019552, 28070176, 29090081, 30189347, 35122592, 27257381, 34727333, 28674470, 27436200, 26559529, 31759144, 24330412, 28747053, 28932272, 27267380, 28236087, 26690872, 29372991, 28804032, 31707713, 26971716, 31356229, 29033544, 31632456, 23583433, 27134665, 29575372, 30288076, 27331917, 28417992, 26845008, 30293448, 26558923, 28729815, 31025114, 27875419, 26432092, 33241185, 25261794, 28989282, 33982945, 26236136, 32467816, 27922029, 33010413, 26789872, 33566707, 28167156, 26929659, 29209215}	2.941906993965936e-147	0.048056460916996	0.0008664517526535085
voxilaprevir	chronic hepatitis	39	109	48662	33810017	{30663168, 29059462, 30395912, 33338248, 31204882, 29181842, 29155352, 29859740, 32392606, 34666403, 32947629, 30006068, 32541241, 29546556, 33111612, 31061950, 30964552, 30641483, 30687952, 31203153, 28673106, 31858513, 35248212, 28390869, 32807510, 32553687, 31197910, 31451229, 31413603, 33418597, 31318504, 33677545, 33447530, 33220331, 30199279, 30717681, 31082871, 33083256, 31041789}	7.760896735376321e-82	0.011278169928118587	0.0008014467140684724
alcaftadine	allergic conjunctivitis	20	25	1902	33810017	{21314437, 24109191, 21340041, 32501774, 33463568, 31436181, 21339800, 30020258, 22035879, 21250860, 34029500, 25999684, 26185412, 22811343, 25260889, 31340775, 22348913, 21383667, 27192186, 29543548}	4.841688263090345e-81	0.0023436129558831453	0.010515247108307046
denosumab injection	osteoporosis	30	52	72341	33810017	{33541393, 34631186, 28242067, 35059476, 32715031, 29264666, 22943389, 32716706, 22854051, 31898803, 34421429, 30964153, 25993017, 33057735, 27682248, 23337161, 31533771, 29445836, 19657689, 33223260, 31598815, 31991007, 30659428, 33987688, 27732330, 33555564, 31273841, 29228533, 32548215, 32459005}	2.0892650705287083e-66	0.04001459293067455	0.0004147025891264981
bismuth subcitrate	gastric ulcer	33	601	10312	33810017	{8561152, 1957121, 7555458, 7489931, 9279507, 10749593, 3305117, 9684129, 9881506, 7615269, 3535018, 15818420, 10566201, 3084345, 25446589, 2184128, 2186304, 3465027, 3244996, 2515527, 2660554, 9631309, 2007640, 12942042, 15807452, 3660894, 32598751, 12207204, 3075178, 3687149, 8452981, 8615543, 3335295}	1.829477279022466e-62	0.0029379900079220533	0.0032001551590380138
supartz	osteoarthritis	23	23	73668	33810017	{27688841, 12834190, 23074461, 31511072, 33426208, 20697901, 27146676, 27471412, 34044600, 27403194, 17200322, 29326532, 29219021, 34515539, 15021143, 15846754, 16625635, 31019370, 12701040, 20964466, 31453043, 29542009, 21197309}	5.99627986362794e-62	0.045298147946596146	0.0003122115436824673
